selector	unit	baseline_cur	baseline_max	baseline_ledger_class	pdb_nonmatch_channels	addressed_diff	batch_action
?on_packet_received@match_client_impl@network@vostok@@AAEXEAAVpacket_reader@network_core@3@@Z	vostok/network/sources/match_client_impl.cpp	95.8333	95.8333	SIZE	locals:MISMATCH;statement_structure:MISMATCH;statement_line_geometry:MISMATCH	SIZE -0x3;SIZE +0x9	Previous checkpoint removed warning only; named-local/size residuals still open. Update stale review wording; no body change in batch.
?on_packet_received@tcp_packet_client@network@vostok@@AAEXABVtcp_packet@network_core@3@@Z	vostok/network/sources/tcp_packet_client.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?on_packet_received@udp_network_flow_emulator@network_core@vostok@@QAEXPAEIABV?$basic_endpoint@Vudp@ip@asio@boost@@@ip@asio@boost@@II@Z	vostok/network_core/sources/udp_network_flow_emulator.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?on_packet_received_impl@match_client@network@vostok@@AAEXEAAVpacket_reader@network_core@3@@Z	vostok/network/sources/match_client.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?on_packet_received_impl@tcp_packet_client@network@vostok@@AAEXAAVpacket_reader@network_core@3@@Z	vostok/network/sources/tcp_packet_client.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?on_ping_sent@login_client_impl@network@vostok@@AAEXIABVerror_code@system@boost@@I@Z	vostok/network/sources/login_client_impl_ping.cpp	99.988	99.988	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?on_resolved@async_connector@network_core@vostok@@AAEXQAV?$basic_resolver@Vtcp@ip@asio@boost@@V?$resolver_service@Vtcp@ip@asio@boost@@@234@@ip@asio@boost@@ABVerror_code@system@7@V?$basic_resolver_iterator@Vtcp@ip@asio@boost@@@567@@Z	vostok/network_core/sources/async_connector.cpp	99.8346	99.8346	SIZE	statement_structure:MISMATCH	SIZE +0x3	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?on_resolved@login_client_impl@network@vostok@@AAEXQAV?$basic_resolver@Vtcp@ip@asio@boost@@V?$resolver_service@Vtcp@ip@asio@boost@@@234@@ip@asio@boost@@IABV?$function@$$A6AXW4resolve_error_types_enum@vostok@@V?$basic_resolver_iterator@Vtcp@ip@asio@boost@@@ip@asio@boost@@@Z@7@ABVerror_code@system@7@V?$basic_resolver_iterator@Vtcp@ip@asio@boost@@@567@@Z	vostok/network/sources/login_client_impl_resolve.cpp	90.0605	90.0605	MATCH	statement_line_geometry:MISMATCH	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?on_sign_in_answer_received@login_client_impl@network@vostok@@AAEXABV?$function@$$A6AXW4connection_error_types_enum@vostok@@W4handshaking_error_types_enum@2@W4socket_error_types_enum@2@W4login_server_message_types_enum@2@@Z@boost@@ABVerror_code@system@5@I@Z	vostok/network/sources/login_client_impl_sign_in.cpp	82.1244	82.1295	SIZE	statement_structure:MISMATCH	SIZE +0x3d;SIZE +0x1;SIZE -0x1;SIZE -0x1;SIZE +0x3d;SIZE +0x1;SIZE +0x49	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?on_sign_in_handshaked@login_client_impl@network@vostok@@AAEXABV?$function@$$A6AXW4connection_error_types_enum@vostok@@W4handshaking_error_types_enum@2@W4socket_error_types_enum@2@W4login_server_message_types_enum@2@@Z@boost@@W4handshaking_error_types_enum@3@@Z	vostok/network/sources/login_client_impl_sign_in.cpp	81.4698	95.6913	SIZE	statement_structure:MISMATCH	SIZE +0x4;SIZE +0x3d;SIZE +0x1;SIZE -0x1;SIZE +0x16	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?on_sign_in_password_written@login_client_impl@network@vostok@@AAEXABV?$function@$$A6AXW4connection_error_types_enum@vostok@@W4handshaking_error_types_enum@2@W4socket_error_types_enum@2@W4login_server_message_types_enum@2@@Z@boost@@ABVerror_code@system@5@I@Z	vostok/network/sources/login_client_impl_sign_in.cpp	78.8727	78.8727	SIZE	statement_structure:MISMATCH	SIZE +0x3d;SIZE +0x4;SIZE +0x3d;SIZE +0x1;SIZE +0x15	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?on_sign_in_written@login_client_impl@network@vostok@@AAEXABV?$function@$$A6AXW4connection_error_types_enum@vostok@@W4handshaking_error_types_enum@2@W4socket_error_types_enum@2@W4login_server_message_types_enum@2@@Z@boost@@ABVerror_code@system@5@I@Z	vostok/network/sources/login_client_impl_sign_in.cpp	69.8782	69.8782	SIZE	statement_structure:MISMATCH	SIZE +0x3d;SIZE -0x1;SIZE +0x4;SIZE +0x3d;SIZE +0x16	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?on_sign_out_handshaked@login_client_impl@network@vostok@@AAEXABV?$function@$$A6AXW4connection_error_types_enum@vostok@@W4handshaking_error_types_enum@2@W4socket_error_types_enum@2@W4login_server_message_types_enum@2@@Z@boost@@W4handshaking_error_types_enum@3@@Z	vostok/network/sources/login_client_impl_sign_out.cpp	81.4698	95.6913	SIZE	statement_structure:MISMATCH	SIZE +0x4;SIZE +0x3d;SIZE +0x1;SIZE -0x1;SIZE +0x16	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?on_sign_out_password_written@login_client_impl@network@vostok@@AAEXABV?$function@$$A6AXW4connection_error_types_enum@vostok@@W4handshaking_error_types_enum@2@W4socket_error_types_enum@2@W4login_server_message_types_enum@2@@Z@boost@@ABVerror_code@system@5@I@Z	vostok/network/sources/login_client_impl_sign_out.cpp	59.7351	59.7351	SIZE	statement_structure:MISMATCH	SIZE +0x3d;SIZE -0x1;SIZE +0x3d;SIZE -0x1;SIZE +0x3d	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?on_sign_out_written@login_client_impl@network@vostok@@AAEXABV?$function@$$A6AXW4connection_error_types_enum@vostok@@W4handshaking_error_types_enum@2@W4socket_error_types_enum@2@W4login_server_message_types_enum@2@@Z@boost@@ABVerror_code@system@5@I@Z	vostok/network/sources/login_client_impl_sign_out.cpp	71.3584	71.3584	SIZE	statement_structure:MISMATCH	SIZE +0x3d;SIZE -0x4;SIZE +0x4;SIZE +0x3d;SIZE +0x20	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?on_sign_up_account_answer_received@login_client_impl@network@vostok@@AAEXABV?$function@$$A6AXW4connection_error_types_enum@vostok@@W4handshaking_error_types_enum@2@W4socket_error_types_enum@2@W4login_server_message_types_enum@2@ABUsign_up_info@2@@Z@boost@@ABUsign_up_info@3@ABVerror_code@system@5@I@Z	vostok/network/sources/login_client_impl_sign_up.cpp	90.0919	90.0919	SIZE	statement_structure:MISMATCH	SIZE -0x1;SIZE +0x3;SIZE +0x20	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?on_sign_up_answer_received@login_client_impl@network@vostok@@AAEXABV?$function@$$A6AXW4connection_error_types_enum@vostok@@W4handshaking_error_types_enum@2@W4socket_error_types_enum@2@W4login_server_message_types_enum@2@ABUsign_up_info@2@@Z@boost@@ABUsign_up_info@3@ABVerror_code@system@5@I@Z	vostok/network/sources/login_client_impl_sign_up.cpp	92.1958	92.1958	SIZE	statement_structure:MISMATCH	SIZE -0x1	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?on_sign_up_info_written@login_client_impl@network@vostok@@AAEXABV?$function@$$A6AXW4connection_error_types_enum@vostok@@W4handshaking_error_types_enum@2@W4socket_error_types_enum@2@W4login_server_message_types_enum@2@ABUsign_up_info@2@@Z@boost@@ABUsign_up_info@3@ABVerror_code@system@5@I@Z	vostok/network/sources/login_client_impl_sign_up.cpp	91.9055	91.9055	SIZE	statement_structure:MISMATCH	SIZE +0x4;SIZE +0x17	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?on_sign_up_written@login_client_impl@network@vostok@@AAEXABV?$function@$$A6AXW4connection_error_types_enum@vostok@@W4handshaking_error_types_enum@2@W4socket_error_types_enum@2@W4login_server_message_types_enum@2@ABUsign_up_info@2@@Z@boost@@ABUsign_up_info@3@ABVerror_code@system@5@I@Z	vostok/network/sources/login_client_impl_sign_up.cpp	92.165	92.165	SIZE	statement_structure:MISMATCH	SIZE +0x1;SIZE +0x17	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?on_signed_in@login_client@network@vostok@@AAEXW4connection_error_types_enum@3@W4handshaking_error_types_enum@3@W4socket_error_types_enum@3@W4login_server_message_types_enum@3@@Z	vostok/network/sources/login_client.cpp	89.5638	89.5638	SIZE	statement_structure:MISMATCH	SIZE +0x10	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?on_signed_out@login_client@network@vostok@@AAEXW4connection_error_types_enum@3@W4handshaking_error_types_enum@3@W4socket_error_types_enum@3@W4login_server_message_types_enum@3@@Z	vostok/network/sources/login_client.cpp	88.1928	88.1928	SIZE	statement_structure:MISMATCH	SIZE +0x11	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?on_signed_up@login_client@network@vostok@@AAEXW4connection_error_types_enum@3@W4handshaking_error_types_enum@3@W4socket_error_types_enum@3@W4login_server_message_types_enum@3@ABUsign_up_info@3@@Z	vostok/network/sources/login_client.cpp	89.2935	89.2935	SIZE	statement_structure:MISMATCH	SIZE +0x11	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?on_user_name_answer_received@login_client_impl@network@vostok@@AAEXABV?$function@$$A6AXW4connection_error_types_enum@vostok@@W4handshaking_error_types_enum@2@W4socket_error_types_enum@2@W4login_server_message_types_enum@2@@Z@boost@@ABVerror_code@system@5@I@Z	vostok/network/sources/login_client_impl_sign_in.cpp	49.0815	49.0815	SIZE	statement_structure:MISMATCH	SIZE +0x3d;SIZE -0x1;SIZE +0x4;SIZE +0x3d;SIZE +0x7;SIZE +0x49;SIZE +0x3;SIZE +0x49;SIZE +0x20	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?packets_count@udp_match_connection@network_core@vostok@@QBEIXZ	vostok/network_core/sources/udp_match_connection.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?ping@login_client_impl@network@vostok@@AAEXI@Z	vostok/network/sources/login_client_impl_ping.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?process_incoming_packet@udp_match_client@network_core@vostok@@AAEXAAVpacket_reader@23@ABV?$basic_endpoint@Vudp@ip@asio@boost@@@ip@asio@boost@@@Z	vostok/network_core/sources/udp_match_client.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?process_low_level_message@udp_match_connection@network_core@vostok@@AAEXAAVpacket_reader@23@I@Z	vostok/network_core/sources/udp_match_connection.cpp	96.6076	96.6076	SIZE	statement_structure:MISMATCH;statement_line_geometry:MISMATCH	SIZE -0x6	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?process_orders@network_world@network@vostok@@AAEXXZ	vostok/network/sources/network_world.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?process_responses@network_world@network@vostok@@AAEXXZ	vostok/network/sources/network_world.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?r@packet_reader@network_core@vostok@@QAEXPAXII@Z	vostok/network_core/packet_reader_inline.h	81.6667	81.6667	MATCH	locals:MISMATCH	projected_match	Raw target local named size may be a promoted parameter; inspect origin before deleting any caller/callee source. Unchanged.
?read_lines_from_stream@network_core@vostok@@YAXPBDAAV?$basic_streambuf@V?$allocator@D@stlp_std@@@asio@boost@@@Z	vostok/network_core/sources/http_client.cpp	100	100	MATCH	statement_line_geometry:MISMATCH	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?reallocate@?$packet@Vtcp_packet@network_core@vostok@@@network_core@vostok@@AAEXI@Z	vostok/network_core/packet.h	100	100	QUANTITY	statement_structure:MISMATCH;statement_files:MISMATCH;statement_line_geometry:MISMATCH	BASE_ONLY	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?reset@async_connector@network_core@vostok@@QAEXXZ	vostok/network_core/sources/async_connector.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?reset@channel@udp_match_connection@network_core@vostok@@QAEXXZ	vostok/network_core/udp_match_connection.h	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?reset_user_password_in_settings@login_client@network@vostok@@QAEXXZ	vostok/network/sources/login_client.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?resize@?$packet@Vtcp_packet@network_core@vostok@@@network_core@vostok@@QAEXI@Z	vostok/network_core/packet_inline.h	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?resolve@login_client_impl@network@vostok@@AAEXABV?$function@$$A6AXW4resolve_error_types_enum@vostok@@V?$basic_resolver_iterator@Vtcp@ip@asio@boost@@@ip@asio@boost@@@Z@boost@@I@Z	vostok/network/sources/login_client_impl_resolve.cpp	96	96	SIZE	statement_structure:MISMATCH	SIZE -0xc;SIZE +0x1	Use three-argument array-sized _itoa_s overload; test12B argument-temp difference with no named local.
?send@?$tcp_packet_socket@V?$basic_stream_socket@Vtcp@ip@asio@boost@@V?$stream_socket_service@Vtcp@ip@asio@boost@@@34@@asio@boost@@@network_core@vostok@@QAEXABVtcp_packet@23@@Z	vostok/network_core/tcp_packet_socket_inline.h	99.9	99.9	MATCH	statement_structure:MISMATCH;statement_line_geometry:MISMATCH	BASE_ONLY;TRGT_ONLY	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?send@tcp_packet_client@network@vostok@@QAEXABVtcp_packet@network_core@3@@Z	vostok/network/sources/tcp_packet_client.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?send@tcp_packet_client@network_core@vostok@@QAEXABVtcp_packet@23@@Z	vostok/network_core/sources/tcp_packet_client.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?send@udp_match_connection@network_core@vostok@@AAEXPAVudp_match_packet@23@@Z	vostok/network_core/sources/udp_match_connection.cpp	88.6613	88.6613	SIZE	statement_structure:MISMATCH;statement_line_geometry:MISMATCH	SIZE +0x16	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?send_packets_list@udp_match_connection@network_core@vostok@@AAEXPAVudp_match_packet@23@I@Z	vostok/network_core/sources/udp_match_connection.cpp	95.811	95.811	SIZE	statement_structure:MISMATCH;statement_line_geometry:MISMATCH	SIZE +0xc;SIZE -0x3;SIZE -0x1	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?send_queued_packets@match_client@network@vostok@@QAEXI@Z	vostok/network/sources/match_client.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?send_queued_packets@match_client_impl@network@vostok@@QAEXI@Z	vostok/network/sources/match_client_impl.h	100	100	QUANTITY	statement_structure:MISMATCH;statement_files:MISMATCH;statement_line_geometry:MISMATCH	BASE_ONLY;BASE_ONLY	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?send_queued_packets@udp_match_client@network_core@vostok@@QAEXI@Z	vostok/network_core/sources/udp_match_client.cpp	100	100	MATCH	statement_structure:MISMATCH;statement_line_geometry:MISMATCH	projected_match	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?send_queued_packets@udp_match_connection@network_core@vostok@@QAEXI@Z	vostok/network_core/sources/udp_match_connection.cpp	97.5688	97.5688	SIZE	statement_structure:MISMATCH;statement_line_geometry:MISMATCH	SIZE -0x8;SIZE -0x1	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?server_browser_address@login_client@network@vostok@@QBEPBDXZ	vostok/network/sources/login_client.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?server_browser_initial_query@login_client@network@vostok@@QBEPBDXZ	vostok/network/sources/login_client.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?session_id@login_client@network@vostok@@QBEIXZ	vostok/network/sources/login_client.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?set_on_connected@tcp_packet_client@network@vostok@@QAEXABV?$function@$$A6AXXZ@boost@@@Z	vostok/network/sources/tcp_packet_client.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?set_on_disconnected@tcp_packet_client@network@vostok@@QAEXABV?$function@$$A6AXXZ@boost@@@Z	vostok/network/sources/tcp_packet_client.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?set_on_error@http_client@network_core@vostok@@QAEXABV?$function@$$A6AXVerror_code@system@boost@@@Z@boost@@@Z	vostok/network_core/http_client.h	-	100	-	presence:TARGET_ONLY	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?set_on_error@tcp_packet_client@network@vostok@@QAEXABV?$function@$$A6AXW4client_error_codes_enum@network_core@vostok@@Verror_code@system@boost@@@Z@boost@@@Z	vostok/network/sources/tcp_packet_client.cpp	12.3846	12.3846	SIZE	statement_structure:MISMATCH	SIZE +0x23	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?set_on_packet_received@match_client_impl@network@vostok@@QAEXABV?$function@$$A6AXEAAVpacket_reader@network_core@vostok@@@Z@boost@@@Z	vostok/network/sources/match_client_impl.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?set_on_packet_received@tcp_packet_client@network@vostok@@QAEXABV?$function@$$A6AXAAVpacket_reader@network_core@vostok@@@Z@boost@@@Z	vostok/network/sources/tcp_packet_client.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?sign_in@login_client@network@vostok@@QAEXPBDG00ABV?$function@$$A6AXW4connection_error_types_enum@vostok@@W4handshaking_error_types_enum@2@W4socket_error_types_enum@2@W4login_server_message_types_enum@2@@Z@boost@@@Z	vostok/network/sources/login_client.cpp	75.1571	75.1571	SIZE	statement_structure:MISMATCH;statement_line_geometry:MISMATCH	SIZE +0x1b;SIZE -0x34	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?sign_in@login_client_impl@network@vostok@@QAEXPBDG00ABV?$function@$$A6AXW4connection_error_types_enum@vostok@@W4handshaking_error_types_enum@2@W4socket_error_types_enum@2@W4login_server_message_types_enum@2@@Z@boost@@@Z	vostok/network/sources/login_client_impl_sign_in.cpp	95.2474	95.2474	SIZE	statement_structure:MISMATCH	SIZE +0x26;SIZE -0x1	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?sign_in_impl@login_client@network@vostok@@AAEXQBDG00@Z	vostok/network/sources/login_client.cpp	96.8806	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?sign_in_on_connected@login_client_impl@network@vostok@@AAEXW4connection_error_types_enum@3@ABV?$function@$$A6AXW4connection_error_types_enum@vostok@@W4handshaking_error_types_enum@2@W4socket_error_types_enum@2@W4login_server_message_types_enum@2@@Z@boost@@@Z	vostok/network/sources/login_client_impl_sign_in.cpp	77.6519	93.3481	SIZE	statement_structure:MISMATCH	SIZE +0x3d;SIZE +0x1;SIZE +0x1;SIZE +0x8;SIZE +0x15	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?sign_out@login_client@network@vostok@@QAEXABV?$function@$$A6AXW4connection_error_types_enum@vostok@@W4handshaking_error_types_enum@2@W4socket_error_types_enum@2@W4login_server_message_types_enum@2@@Z@boost@@@Z	vostok/network/sources/login_client.cpp	80.6	82.3391	SIZE	statement_structure:MISMATCH;statement_line_geometry:MISMATCH	SIZE +0x29;SIZE +0x2a	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?sign_out@login_client_impl@network@vostok@@QAEXABV?$function@$$A6AXW4connection_error_types_enum@vostok@@W4handshaking_error_types_enum@2@W4socket_error_types_enum@2@W4login_server_message_types_enum@2@@Z@boost@@@Z	vostok/network/sources/login_client_impl_sign_out.cpp	93.6299	93.6299	SIZE	statement_structure:MISMATCH	SIZE +0x26;SIZE +0x1;SIZE +0x1;SIZE -0x1	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?sign_out_on_connected@login_client_impl@network@vostok@@AAEXW4connection_error_types_enum@3@ABV?$function@$$A6AXW4connection_error_types_enum@vostok@@W4handshaking_error_types_enum@2@W4socket_error_types_enum@2@W4login_server_message_types_enum@2@@Z@boost@@@Z	vostok/network/sources/login_client_impl_sign_out.cpp	78.9597	94.9597	SIZE	statement_structure:MISMATCH	SIZE +0x3d;SIZE +0x1;SIZE +0x16	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?sign_up@login_client_impl@network@vostok@@QAEXPBDGABUsign_up_info@3@ABV?$function@$$A6AXW4connection_error_types_enum@vostok@@W4handshaking_error_types_enum@2@W4socket_error_types_enum@2@W4login_server_message_types_enum@2@ABUsign_up_info@2@@Z@boost@@@Z	vostok/network/sources/login_client_impl_sign_up.cpp	84.3929	84.3929	SIZE	statement_structure:MISMATCH	SIZE +0x11	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?sign_up_on_connected@login_client_impl@network@vostok@@AAEXW4connection_error_types_enum@3@ABV?$function@$$A6AXW4connection_error_types_enum@vostok@@W4handshaking_error_types_enum@2@W4socket_error_types_enum@2@W4login_server_message_types_enum@2@ABUsign_up_info@2@@Z@boost@@ABUsign_up_info@3@@Z	vostok/network/sources/login_client_impl_sign_up.cpp	90.6621	90.6621	SIZE	statement_structure:MISMATCH	SIZE +0x15	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?sign_up_on_handshaked@login_client_impl@network@vostok@@AAEXABV?$function@$$A6AXW4connection_error_types_enum@vostok@@W4handshaking_error_types_enum@2@W4socket_error_types_enum@2@W4login_server_message_types_enum@2@ABUsign_up_info@2@@Z@boost@@ABUsign_up_info@3@W4handshaking_error_types_enum@3@@Z	vostok/network/sources/login_client_impl_sign_up.cpp	91.776	91.776	SIZE	statement_structure:MISMATCH	SIZE +0x15	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?size_to_eof@packet_reader@network_core@vostok@@QBEIXZ	vostok/network_core/packet_reader_inline.h	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?start_reading@tcp_packet_client@network_core@vostok@@AAEXXZ	vostok/network_core/sources/tcp_packet_client.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?start_receiving@?$tcp_packet_socket@V?$basic_stream_socket@Vtcp@ip@asio@boost@@V?$stream_socket_service@Vtcp@ip@asio@boost@@@34@@asio@boost@@@network_core@vostok@@QAEXXZ	vostok/network_core/tcp_packet_socket_inline.h	87.25	87.25	SIZE	statement_structure:MISMATCH	SIZE +0x12	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?start_receiving@udp_match_client@network_core@vostok@@AAEXXZ	vostok/network_core/sources/udp_match_client.cpp	90.8235	90.8235	SIZE	statement_structure:MISMATCH;statement_line_geometry:MISMATCH	SIZE +0x12	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?stop_receiving@?$tcp_packet_socket@V?$basic_stream_socket@Vtcp@ip@asio@boost@@V?$stream_socket_service@Vtcp@ip@asio@boost@@@34@@asio@boost@@@network_core@vostok@@QAEXXZ	vostok/network_core/tcp_packet_socket_inline.h	99.8077	99.8077	SIZE	statement_structure:MISMATCH	SIZE +0x9	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?store_user_password_in_settings@login_client@network@vostok@@QAEXXZ	vostok/network/sources/login_client.cpp	99.7692	99.7692	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?tick@network_world@network@vostok@@UAEX_N@Z	vostok/network/sources/network_world.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?tick@udp_network_flow_emulator@network_core@vostok@@QAEXIABV?$function@$$A6AXAAVpacket_reader@network_core@vostok@@ABV?$basic_endpoint@Vudp@ip@asio@boost@@@ip@asio@boost@@@Z@boost@@@Z	vostok/network_core/sources/udp_network_flow_emulator.cpp	99.8894	99.8894	MATCH	statement_structure:MISMATCH;statement_line_geometry:MISMATCH	projected_match	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?update_acknowledgements@udp_match_connection@network_core@vostok@@AAEXV?$sequence_number@G@23@0G@Z	vostok/network_core/sources/udp_match_connection.cpp	100	100	MATCH	statement_line_geometry:MISMATCH	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?verify_ssl_certificate@login_client_impl@network@vostok@@AAE_N_NAAVverify_context@ssl@asio@boost@@@Z	vostok/network/sources/login_client_impl.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
`dynamic initializer for 's_net_client_account_name_cc''	vostok/network/sources/login_client.cpp	-	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
`dynamic initializer for 's_net_client_account_password_cc''	vostok/network/sources/login_client.cpp	-	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
destroy_client	vostok/network/sources/login_client.cpp	90.8333	90.8333	SIZE	statement_structure:MISMATCH	selection_requires_rva	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
destroy_client@@pdb-overload:6b7060be47b7868a	vostok/network/sources/tcp_packet_client.cpp	90.8333	90.8333	SIZE	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
